Timestamp(ms),PlayerRotX,PlayerRotY,TargetRotX,TargetRotY,Fired,HitTarget
5733.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
5746.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
5758.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
5776.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
5801.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
5811.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
5831.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
5842.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
5862.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
5883.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
5894.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
5915.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
5927.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
5947.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
5959.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
5979.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
6000.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
6011.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
6032.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
6043.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
6063.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
6075.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
6096.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
6117.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
6126.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
6147.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
6158.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
6178.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
6199.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
6211.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
6232.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
6245.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
6263.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
6276.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
6365.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
6392.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
6403.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
6417.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
6438.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
6450.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
6471.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
6482.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
6505.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
6514.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
6536.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
6559.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
6568.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
6590.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
6598.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
6623.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
6632.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
6657.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
6665.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
6687.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
6708.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
6718.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
6741.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
6753.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
6774.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
6784.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
6806.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
6825.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
6837.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
6858.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
6868.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
6889.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
6899.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
6923.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
6932.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
6953.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
6974.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
6983.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
7006.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
